"PROVIDER_ID","Std_Outcomes_Mortality_score","Outcomes_Mortality_cnt","Std_Outcomes_Safety_score","Outcomes_Safety_cnt","Std_Outcomes_Readmission_score","Outcomes_Readmission_cnt","Std_PatientExp_score","Patient_Experience_cnt","Std_Process_score","Process_cnt","std_weight_Mortality","std_weight_Safety","std_weight_Readmission","std_weight_PatientExperience","std_weight_Process","weight_Outcomes_Mortality","weight_Outcomes_Safety","weight_Outcomes_Readmission","weight_PatientExperience","weight_Process","summary_score","Total_measure_group_cnt","MortSafe_Group_cnt","report_indicator","cnt_grp","star"
"010021",-0.0252627101242641,2,-0.59234308582697,2,-0.26384589916662,3,1.30323072547974,5,-0.102982117266973,8,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0804335326075781,3,0,0,"",NA
"010022",0.153527455819019,1,1.15927422234555,1,0.204198528975283,2,NA,0,0.951023594269184,5,0.22,0.22,0.22,0.22,0.12,0.282051282051282,0.282051282051282,0.282051282051282,NA,0.153846153846154,0.574183175491115,1,0,0,"",NA
"010023",-0.401690302767772,8,-1.42948095191602,7,0.098181931601134,11,0.0452064756554818,15,0.112711852591034,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.357786804123055,5,2,1,"3) # of groups=5",2
"010024",-0.551945111605704,8,-1.20564820899226,6,0.559499982695812,10,-0.866490745544544,15,0.114314842519193,9,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.44049071725597,5,2,1,"3) # of groups=5",2
"010029",-1.21389462397807,8,-0.290220170930967,8,0.754449630077008,11,0.380257166293217,15,-0.616314341038002,9,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.155227480603099,5,2,1,"3) # of groups=5",3
"010033",0.311783705492951,8,-0.272329088800204,8,-0.959547756157799,11,-0.132378776037566,15,-0.413985419202717,8,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.281222071714902,5,2,1,"3) # of groups=5",2
"010034",0.153527455819019,1,NA,0,0.36074356882695,2,0.129062429984309,5,0.635159397210858,5,0.22,0.22,0.22,0.22,0.12,0.282051282051282,NA,0.282051282051282,0.282051282051282,0.153846153846154,0.279169856005082,2,0,0,"",NA
"010035",-0.97335331889489,7,-0.165436278314665,7,-0.654207413855766,7,-0.436401274349207,15,0.838923588757275,10,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.389796792140323,5,2,1,"3) # of groups=5",2
"010036",-0.23631632265995,5,0.662425433125945,3,-0.810364742786348,7,-0.507121026038244,15,-1.3406567761123,8,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.356981677972367,5,2,1,"3) # of groups=5",2
"010039",-1.28221045875905,8,-0.596956497666613,8,0.974700718753029,11,0.155596576562934,15,-0.541809828518723,10,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.229768504866381,5,2,1,"3) # of groups=5",3
