"PROVIDER_ID","std_HAI_1","std_HAI_2","std_HAI_3","std_HAI_4","std_HAI_5","std_HAI_6","std_PSI_90_SAFETY","std_COMP_HIP_KNEE","total_cnt","measure_wt","score_before_std","grp_score","mean","sd"
"010001",0.133423402378545,0.793739877571733,0.544170989008319,NA,0.84381010892568,0.0527258582496612,0.242552518792751,0.570513529020354,7,0.142857142857143,0.454419469135292,"0.574389929273086",-0.0243323532687902,0.83349619832291
"010005",-0.145997099579461,-0.845448179722186,0.574236818326791,NA,-1.49608372780821,-0.29177802120533,0.139697301553347,0.844962917200563,7,0.142857142857143,-0.17434428446207,"-0.179979142670502",-0.0243323532687902,0.83349619832291
"010006",0.881367170245933,0.947469619040956,1.19846070322458,1.12011645862327,1.14814598108083,0.760355448481536,-0.734572044981585,-1.48785688233121,8,0.125,0.479185806673039,"0.604103727113532",-0.0243323532687902,0.83349619832291
"010007",NA,NA,NA,NA,NA,-0.629298713914613,-0.32315117602397,NA,2,0.5,-0.476224944969292,"-0.542165150374724",-0.0243323532687902,0.83349619832291
"010008",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NaN",-0.0243323532687902,0.83349619832291
"010011",-2.54365080072416,0.334338208297428,1.19846070322458,NA,-1.23498683202483,0.180750948587665,-0.168868350164865,-0.527284023700479,7,0.142857142857143,-0.394462878072095,"-0.444069841647808",-0.0243323532687902,0.83349619832291
"010012",NA,-2.54898822181718,NA,NA,NA,0.206355966655266,-0.117440741545163,-2.31120504687183,4,0.25,-1.19281951089473,"-1.40191060256431",-0.0243323532687902,0.83349619832291
"010016",-1.46407158861369,-1.06174235085912,1.19846070322458,NA,0.43636590849938,0.299465123264723,-2.32882791219234,-1.62508157642131,7,0.142857142857143,-0.649347384728253,"-0.749871484377572",-0.0243323532687902,0.83349619832291
"010018",NA,NA,NA,NA,NA,NA,0.0368420843139429,NA,1,1,0.0368420843139429,"0.0733949809319144",-0.0243323532687902,0.83349619832291
"010019",0.881367170245933,0.947469619040956,-0.150206497632572,NA,1.14814598108083,-1.25080233428274,0.345407736032154,-1.213407494151,7,0.142857142857143,0.101139168619081,"0.150536405733265",-0.0243323532687902,0.83349619832291
"010021",NA,NA,NA,NA,NA,-0.198668864595873,-0.837427262220988,NA,2,0.5,-0.518048063408431,"-0.59234308582697",-0.0243323532687902,0.83349619832291
"010022",NA,NA,NA,NA,NA,0.941918303869977,NA,NA,1,1,0.941918303869977,"1.15927422234555",-0.0243323532687902,0.83349619832291
"010023",-0.594763360299894,-0.101825244243156,-0.373552658284075,NA,-1.4461926012254,-0.000811906800776736,-5.05449116903654,-0.938958105970791,7,0.142857142857143,-1.21579929226581,"-1.42948095191602",-0.0243323532687902,0.83349619832291
