"PROVIDER_ID","std_H_CLEAN_LINEAR_SCORE","std_H_COMP_1_LINEAR_SCORE","std_H_COMP_2_LINEAR_SCORE","std_H_COMP_3_LINEAR_SCORE","std_H_COMP_5_LINEAR_SCORE","std_H_COMP_6_LINEAR_SCORE","std_H_COMP_7_LINEAR_SCORE","std_H_HSP_RATING_LINEAR_SCORE","std_H_QUIET_LINEAR_SCORE","std_H_RECMND_LINEAR_SCORE","std_O-COMP-1","std_O-COMP-2","std_O-COMP-3","std_O-PATIENT-RATE","std_O-PATIENT-REC","total_cnt","measure_wt","score_before_std","grp_score","mean","sd"
"010001",-0.3787248522735,-0.445368487982847,0.482250670524345,-0.295815081966416,0.578896767317805,0.176407146509086,0.360450685476562,0.275675497944774,1.08240477109317,0.842665064769475,-0.128380806084399,-1.2765178909142,-0.390364016154661,0.0375796895060393,0.490315381106233,15,0.0666666666666667,0.0940983025914308,"0.079690009751265",0.0272919712768318,0.838327558537393
"010005",-0.3787248522735,-0.0695402019666846,0.859497084437262,-1.2945885845197,-0.854810381487305,0.43658490134165,-0.27344186697172,-0.267715000201232,0.900332076968105,-0.402008382526247,-0.128380806084399,0.514019895695545,0.533042657317561,0.0375796895060393,0.146387534917927,15,0.0666666666666667,-0.0161177490564464,"-0.0517813352205837",0.0272919712768318,0.838327558537393
"010006",-1.72906100231754,-0.82119677399901,-1.02673498512732,-1.49434328503035,-1.26444099543162,-1.12448162765373,-1.22428069564414,-1.35449599649324,0.354113994592917,-1.43923625527268,-0.128380806084399,-0.679671962044285,-0.390364016154661,-0.468851364313488,-0.541468157458686,15,0.0666666666666667,-0.888859595228817,"-1.09283245811939",0.0272919712768318,0.838327558537393
"010007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.05996460408149,-1.87336381978412,-1.31377068962688,-1.48171347195254,-0.19754031127038,5,0.2,-1.18527057934308,"-1.44640664412302",0.0272919712768318,0.838327558537393
"010008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.128380806084399,0.514019895695545,-0.390364016154661,-0.468851364313488,0.146387534917927,5,0.2,-0.0654377511878154,"-0.110612756935285",0.0272919712768318,0.838327558537393
"010011",-0.828836902288182,-0.82119677399901,-0.272242157301488,0.103694319054896,-0.649995074515147,-0.604126117988605,-0.590388143195861,-0.267715000201232,0.536186688717979,-0.19456280797696,NA,NA,NA,NA,NA,10,0.1,-0.358918196969361,"-0.460691246891612",0.0272919712768318,0.838327558537393
"010012",-1.72906100231754,0.68211637006564,0.482250670524345,0.702958420586865,0.578896767317805,0.43658490134165,-0.590388143195861,-0.811105498347237,0.354113994592917,-0.81689953162482,-1.05996460408149,0.514019895695545,0.533042657317561,-0.975282418133016,-1.57325169602361,15,0.0666666666666667,-0.218131281085417,"-0.292753411077684",0.0272919712768318,0.838327558537393
"010016",-1.27894895230286,-0.82119677399901,-0.272242157301488,-1.09483388400904,-0.854810381487305,-0.604126117988605,-0.907334419420002,-0.811105498347237,-0.0100313936572085,-0.81689953162482,-1.05996460408149,-0.0828260331743703,-0.390364016154661,-1.98814452577207,-1.2293238498353,15,0.0666666666666667,-0.814810142610365,"-1.00450248272452",0.0272919712768318,0.838327558537393
"010018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.128380806084399,-0.0828260331743703,0.533042657317561,0.544010743325567,0.83424322729454,5,0.2,0.34001795773578,"0.373035555463013",0.0272919712768318,0.838327558537393
"010019",0.296443222748521,0.68211637006564,0.105004256611428,0.902713121097521,0.578896767317805,0.43658490134165,0.360450685476562,0.81906599609078,1.08240477109317,0.842665064769475,-0.128380806084399,-0.0828260331743703,0.533042657317561,0.0375796895060393,0.490315381106233,15,0.0666666666666667,0.463738403018908,"0.520615632037114",0.0272919712768318,0.838327558537393
"010021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.803202991912693,1.11086582456546,1.45644933078978,1.05044179714509,1.17817107348285,5,0.2,1.11982620357918,"1.30323072547974",0.0272919712768318,0.838327558537393
"010022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NaN",0.0272919712768318,0.838327558537393
"010023",-0.603780877280841,-0.0695402019666846,0.105004256611428,0.303449019565552,0.578896767317805,0.176407146509086,0.0435044092524207,0.275675497944774,0.536186688717979,0.220328341121614,-1.05996460408149,-0.0828260331743703,0.533042657317561,-0.468851364313488,0.490315381106233,15,0.0666666666666667,0.0651898056431719,"0.0452064756554818",0.0272919712768318,0.838327558537393
"010024",-1.72906100231754,-0.0695402019666846,0.105004256611428,-0.295815081966416,-0.445179767542988,-0.604126117988605,0.0435044092524207,-0.267715000201232,0.354113994592917,-0.19456280797696,-1.99154840207858,-1.87336381978412,-1.31377068962688,-0.975282418133016,-1.2293238498353,15,0.0666666666666667,-0.699111099930771,"-0.866490745544544",0.0272919712768318,0.838327558537393
"010029",-0.15366882726616,0.306288084049478,0.859497084437262,-0.0960603814557601,0.169266153373488,-0.0837706083234775,0.677396961700702,0.547370747017777,0.900332076968105,0.635219490220188,-0.128380806084399,-0.0828260331743703,1.45644933078978,0.0375796895060393,0.146387534917927,15,0.0666666666666667,0.346072033111772,"0.380257166293217",0.0272919712768318,0.838327558537393
"010033",-1.05389292729552,-0.0695402019666846,0.859497084437262,-0.295815081966416,0.169266153373488,0.696762656174214,0.677396961700702,0.547370747017777,0.172041300467854,0.842665064769475,-1.99154840207858,-0.679671962044285,-1.31377068962688,0.0375796895060393,0.146387534917927,15,0.0666666666666667,-0.0836848048409092,"-0.132378776037566",0.0272919712768318,0.838327558537393
"010034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.803202991912693,0.514019895695545,0.533042657317561,-0.975282418133016,-0.19754031127038,5,0.2,0.135488563104481,"0.129062429984309",0.0272919712768318,0.838327558537393
"010035",-0.15366882726616,0.306288084049478,-0.272242157301488,-0.495569782477073,-0.854810381487305,-0.343948363156041,-0.590388143195861,-0.267715000201232,1.08240477109317,-0.609453957075534,-0.128380806084399,-0.0828260331743703,-1.31377068962688,-0.468851364313488,-0.885396003646993,15,0.0666666666666667,-0.338555243590945,"-0.436401274349207",0.0272919712768318,0.838327558537393
"010036",-0.3787248522735,-0.0695402019666846,0.482250670524345,0.303449019565552,-0.035549153598671,-0.604126117988605,-0.590388143195861,-0.539410249274234,0.536186688717979,-0.402008382526247,-0.128380806084399,-1.87336381978412,-1.31377068962688,-0.468851364313488,-0.885396003646993,15,0.0666666666666667,-0.397841560364787,"-0.507121026038244",0.0272919712768318,0.838327558537393
"010039",-0.3787248522735,-0.0695402019666846,0.105004256611428,-0.495569782477073,-0.24036446057083,0.43658490134165,0.0435044092524207,0.275675497944774,0.354113994592917,0.635219490220188,-0.128380806084399,-0.0828260331743703,0.533042657317561,0.544010743325567,0.83424322729454,15,0.0666666666666667,0.157732869423613,"0.155596576562934",0.0272919712768318,0.838327558537393
"010040",-1.5040049773102,-0.445368487982847,-0.272242157301488,-0.295815081966416,-0.854810381487305,-0.604126117988605,-0.907334419420002,-1.08280074742024,0.172041300467854,-1.02434510617411,-0.128380806084399,-0.679671962044285,-0.390364016154661,-1.48171347195254,-1.2293238498353,15,0.0666666666666667,-0.71521735217697,"-0.88570310720697",0.0272919712768318,0.838327558537393
"010044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NaN",0.0272919712768318,0.838327558537393
"010045",1.64677937279256,2.18542951413029,1.99123632617601,1.70173192314015,1.39815799520644,1.73747367550447,1.31128951414898,1.63415174330979,1.99276824171848,1.25755621386805,0.803202991912693,1.11086582456546,1.45644933078978,1.05044179714509,1.52209891967115,15,0.0666666666666667,1.51997555893863,"1.78054934787786",0.0272919712768318,0.838327558537393
"010046",-0.603780877280841,-0.0695402019666846,-1.40398139904024,0.303449019565552,0.783712074289963,0.43658490134165,0.360450685476562,0.275675497944774,0.900332076968105,0.635219490220188,-1.99154840207858,-1.2765178909142,-1.31377068962688,-0.975282418133016,-0.19754031127038,15,0.0666666666666667,-0.275769229633602,"-0.361506904817941",0.0272919712768318,0.838327558537393
"010049",-0.603780877280841,0.306288084049478,0.482250670524345,0.303449019565552,0.578896767317805,0.43658490134165,0.0435044092524207,0.275675497944774,1.26447746521823,0.0128827665723271,-0.128380806084399,-0.0828260331743703,0.533042657317561,-1.48171347195254,-0.885396003646993,15,0.0666666666666667,0.0703303364643331,"0.0513383638044647",0.0272919712768318,0.838327558537393
"010051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NaN",0.0272919712768318,0.838327558537393
"010052",1.19666732277788,1.43377294209797,1.23674349835018,0.702958420586865,2.83186514401155,0.956940411006778,0.677396961700702,1.36245649423679,1.26447746521823,1.25755621386805,NA,NA,NA,NA,NA,10,0.1,1.2920834873855,"1.50870802615068",0.0272919712768318,0.838327558537393
"010055",-0.15366882726616,-0.0695402019666846,0.105004256611428,-0.295815081966416,0.578896767317805,-0.0837706083234775,0.360450685476562,-0.267715000201232,0.718259382843042,0.0128827665723271,-1.05996460408149,-0.679671962044285,0.533042657317561,-0.975282418133016,-0.541468157458686,15,0.0666666666666667,-0.121224023020182,"-0.177157475958592",0.0272919712768318,0.838327558537393
"010056",-2.62928510234691,-1.19702506001517,-0.272242157301488,-1.2945885845197,-1.67407160937594,-0.864303872821169,-0.27344186697172,-0.539410249274234,0.718259382843042,-0.19456280797696,NA,NA,NA,NA,NA,10,0.1,-0.822067192776024,"-1.01315906342708",0.0272919712768318,0.838327558537393
"010058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.803202991912693,0.514019895695545,-0.390364016154661,-0.468851364313488,0.146387534917927,5,0.2,0.120879008411603,"0.111635405733351",0.0272919712768318,0.838327558537393
