PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
010033,0.092546802,-0.367187303,-0.406569447,0.3065344731,-0.266291651,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.114383602,7,8,11,8,10,5,2,1,3) # of groups=5,3
010034,,-0.716945254,-0.155199177,,0.0853368303,0.22,0.22,0.22,0.22,0.12,,0.3928571429,,0.3928571429,0.2142857143,-0.324341706,0,1,2,0,5,1,0,0,,
010035,-0.518977307,-0.512936022,0.1647048473,-0.120351138,0.2508666084,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.187159123,5,7,8,8,11,5,2,1,3) # of groups=5,3
010036,-0.586170879,-0.320628109,0.7651753239,-0.28480139,-0.481254742,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.151564081,4,4,7,8,9,5,2,1,3) # of groups=5,3
010039,-1.090736898,-0.024374694,-0.599766428,-0.219569277,-0.986632197,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.543974269,7,8,11,8,11,5,2,1,3) # of groups=5,2
010040,-0.032518477,-0.127314856,0.2058373861,-1.107349011,-2.360843773,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.516797143,7,7,9,8,9,5,2,1,3) # of groups=5,2
010044,-0.006302569,1.4983425409,,,0.2096263071,0.22,0.22,0.22,0.22,0.12,,0.3928571429,0.3928571429,,0.2142857143,0.6310784832,2,0,4,0,6,2,0,0,,
010045,0.4610738838,-0.29693216,-0.074238012,2.0318764221,0.0057568761,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.4674824545,3,1,5,8,7,4,1,1,2) # of groups=4,4
010046,0.0285406729,-1.350861988,1.2088369543,-0.766619987,0.1636658145,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.173983059,6,7,7,8,7,5,2,1,3) # of groups=5,3
010049,-1.773249243,-0.142956529,0.4076037076,0.3115148077,-0.514280528,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.32507286,4,4,7,8,11,5,2,1,3) # of groups=5,2
010051,,,,,1.2547454882,0.22,0.22,0.22,0.22,0.12,,,,,1,1.2547454882,0,0,0,0,4,1,0,0,,
010052,,0.9775154885,,,-0.923631546,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,0.3065224175,0,0,1,0,6,1,0,0,,
010055,-2.149475248,-0.842259598,0.2127193582,0.3121909135,-0.818988954,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.640980081,7,8,9,8,10,5,2,1,3) # of groups=5,1
010056,-0.18191481,0.6303325883,0.6148154698,0.7512764208,-1.214957066,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.2533972792,7,8,9,8,11,5,2,1,3) # of groups=5,4
010058,,0.333298549,1.4806425566,,-0.065295142,0.22,0.22,0.22,0.22,0.12,,0.3928571429,,0.3928571429,0.2142857143,0.6986279039,0,1,1,0,7,1,0,0,,
010059,0.3915807335,0.6894597479,,,0.757854733,0.22,0.22,0.22,0.22,0.12,,0.3928571429,0.3928571429,,0.2142857143,0.5870919176,1,0,2,0,5,1,0,0,,
010061,-0.471097748,0.434634608,-2.430082632,-0.89759382,-0.011449937,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.741484703,3,3,6,8,9,5,2,1,3) # of groups=5,1
010062,-0.550259982,0.4736813216,0.7436828544,,-1.270970503,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,-0.00737633,1,2,3,0,6,2,0,0,,
010065,-0.42807092,1.0662656823,-0.569905676,1.0347792749,0.2843984032,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.2768028478,3,3,8,8,10,5,2,1,3) # of groups=5,4
010069,-0.564188539,0.9066828357,0.7032022721,-0.167228361,-0.418079166,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1430935056,2,2,4,8,7,3,0,0,,
010073,-1.879917462,1.0945099646,0.7032022721,,0.5033829415,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,0.0542574403,1,2,3,0,6,2,0,0,,
010078,0.3025582612,-0.27435087,-0.207405101,-0.768969488,-0.89346299,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.315812342,6,7,10,8,11,5,2,1,3) # of groups=5,2
010079,-0.930580914,0.0413630978,0.5723157482,0.7522611835,-1.073019976,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.032983392,4,6,7,8,10,5,2,1,3) # of groups=5,3
010083,-0.044672413,1.3868207227,0.6592778854,1.0434613223,-0.034983105,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.6656772814,6,6,8,8,11,5,2,1,3) # of groups=5,5
010085,-0.210147324,-0.413965989,-0.493819661,0.235580601,-0.614696115,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.267881056,6,7,7,8,11,5,2,1,3) # of groups=5,2
010086,-1.3608909,0.3654272003,0.0876843167,0.9810736203,-0.489843745,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.042656517,3,1,6,8,7,4,1,1,2) # of groups=4,3
010087,0.0184077283,-0.352423599,0.0398109247,-0.37644535,-0.440447879,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.200396811,4,6,7,8,7,5,2,1,3) # of groups=5,3
010089,-0.017591478,-1.115190117,-1.078062765,-0.505974633,-0.431536004,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.649484499,4,6,6,8,9,5,2,1,3) # of groups=5,1
010090,-1.473282628,0.4832409309,0.6870565732,0.1252658978,-0.50984598,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.100279747,7,8,9,8,8,5,2,1,3) # of groups=5,3
010091,,-0.752165578,,,-1.170087367,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,-0.899667386,0,0,2,0,7,1,0,0,,
010092,-0.850686972,-0.140899434,-0.138736494,-1.554427933,-1.244161814,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.739944601,7,8,11,8,10,5,2,1,3) # of groups=5,1
