PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
10001,0.007134504,0.2312259238,-0.145520453,0.1268857714,-0.693882686,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.034926258,7,7,11,8,10,5,2,1,3) # of groups=5,3
10005,-1.441028,0.7203393325,-0.087122055,-0.264676975,-0.508888573,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.297013922,6,7,9,8,12,5,2,1,3) # of groups=5,2
10006,-1.463006419,-0.268615037,-0.172398466,-1.10406966,-0.775460585,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.754834978,7,7,9,8,11,5,2,1,3) # of groups=5,1
10007,-3.528709906,-0.470133322,0.3939170917,0.1891476221,-1.805938541,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.968183898,3,2,7,8,7,4,1,1,2) # of groups=4,1
10008,,-0.000619485,,,-0.455835294,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,-0.161283888,0,0,2,0,6,1,0,0,,
10011,-0.476908618,-0.401501488,0.3462801505,-0.040622639,-1.077373502,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.255290391,7,7,9,8,8,5,2,1,3) # of groups=5,3
10012,-1.533053901,-0.120252287,0.3384844165,-0.291084687,-0.109851351,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.366481583,3,4,6,8,9,5,2,1,3) # of groups=5,2
10016,0.536577553,-0.663076966,0.0769399935,-0.740140015,-0.306359409,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.210497005,7,7,9,8,6,5,2,1,3) # of groups=5,3
10018,,0.5496976036,0.1831843167,,1.7490670661,0.22,0.22,0.22,0.22,0.12,,0.3928571429,,0.3928571429,0.2142857143,0.6627179829,0,1,2,0,4,1,0,0,,
10019,-2.239383768,0.4152351589,-1.280698965,0.8463711248,-0.423540981,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.547689737,4,7,7,8,10,5,2,1,3) # of groups=5,2
