PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
010001,0.0070710636,0.2308674186,-0.146867373,0.1377785432,-0.677623952,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.030967951,7,7,11,8,10,5,2,1,3) # of groups=5,3
010005,-1.440587361,0.7202630159,-0.087719589,-0.255124779,-0.489000718,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.292577203,6,7,9,8,12,5,2,1,3) # of groups=5,2
010006,-1.462748162,-0.269474921,-0.173330915,-1.097088095,-0.754911724,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.751170667,7,7,9,8,11,5,2,1,3) # of groups=5,1
010007,-3.527614741,-0.470902742,0.3939990759,0.1997672581,-1.804879208,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.965630758,3,2,7,8,7,4,1,1,2) # of groups=4,1
010008,,-0.001725869,,,-0.44519953,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,-0.158245985,0,0,2,0,6,1,0,0,,
010011,-0.476720373,-0.402190715,0.3466230598,-0.030498096,-1.046286194,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.24936729,7,7,9,8,8,5,2,1,3) # of groups=5,3
010012,-1.532571269,-0.120570014,0.3389377537,-0.281757672,-0.094551394,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.362457632,3,4,6,8,9,5,2,1,3) # of groups=5,2
010016,0.536445822,-0.664011058,0.0762134154,-0.732346973,-0.278597951,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.205845489,7,7,9,8,6,5,2,1,3) # of groups=5,3
010018,,0.5499659922,0.1835002163,,1.7817856854,0.22,0.22,0.22,0.22,0.12,,0.3928571429,,0.3928571429,0.2142857143,0.6699586574,0,1,2,0,4,1,0,0,,
010019,-2.238530293,0.4152038146,-1.286997333,0.8583663649,-0.405402551,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.544078945,4,7,7,8,10,5,2,1,3) # of groups=5,2
010021,-0.414304291,0.3287168045,-0.355110932,0.7202685605,-1.429796939,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.110070201,3,2,5,8,8,4,1,1,2) # of groups=4,2
010022,1.1183402191,0.1513423969,1.4110119357,,-0.339201116,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,0.703908548,1,1,3,0,5,2,0,0,,
010023,-0.902409822,-0.302066756,-0.835242133,-0.305121859,0.1272500957,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.500594914,7,7,11,8,10,5,2,1,3) # of groups=5,2
010024,-0.758116396,-0.093338062,-1.320215056,-0.230121409,-0.847895418,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.630141453,7,7,11,8,9,5,2,1,3) # of groups=5,2
010029,-1.141460491,-0.068713077,-0.265892752,0.2134597215,-0.564206474,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.345478228,7,8,11,8,10,5,2,1,3) # of groups=5,2
010033,0.0277763914,-0.312247706,-0.476507093,0.4328618878,-0.517113153,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.134239213,7,8,11,8,10,5,2,1,3) # of groups=5,3
010034,,1.0549818154,,,-0.385926077,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,0.5464260887,0,0,2,0,5,1,0,0,,
010035,-0.419897712,0.0075417101,0.358532016,0.1390274333,0.05048195,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0248025925,6,7,8,8,11,5,2,1,3) # of groups=5,3
010036,-0.59034926,-0.518926917,0.5685225682,0.1210715981,-1.494463477,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.27166566,4,3,7,8,9,5,2,1,3) # of groups=5,3
010039,-1.142166454,0.4856621435,-0.560105878,-0.435105429,-0.939488968,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.476116112,7,8,11,8,11,5,2,1,3) # of groups=5,2
010040,0.0306402994,0.0355139234,-0.478904206,-1.178942585,-1.789236353,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.564880727,7,7,9,8,9,5,2,1,3) # of groups=5,2
010044,-0.006168708,1.3127182533,,,-0.301925407,0.22,0.22,0.22,0.22,0.12,,0.3928571429,0.3928571429,,0.2142857143,0.4485890198,2,0,4,0,7,2,0,0,,
010045,0.4648594545,-0.23719899,-0.480645346,1.8760229314,-0.014521178,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.3553258295,3,2,5,8,7,4,1,1,2) # of groups=4,4
010046,0.2431160632,-1.295913069,1.1449985929,-0.536796199,-0.229834452,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.125390949,6,7,7,8,7,5,2,1,3) # of groups=5,3
010049,-1.787337267,-0.122696939,0.260468773,0.1381476203,-0.084986431,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.342710291,4,4,7,8,11,5,2,1,3) # of groups=5,2
010051,,,,,1.3907802081,0.22,0.22,0.22,0.22,0.12,,,,,1,1.3907802081,0,0,0,0,4,1,0,0,,
010052,,0.9755889957,,,-0.768828495,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,0.3599122343,0,0,1,0,6,1,0,0,,
010055,-2.085425646,-0.668687352,0.7601607531,0.0643386339,-0.878837038,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.529975439,7,8,9,8,10,5,2,1,3) # of groups=5,2
010056,-0.171555039,0.7851572143,0.0644946197,0.7083654643,-1.25782589,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1540825904,7,8,9,8,11,5,2,1,3) # of groups=5,4
010058,,0.334469541,0.7611955397,,0.072101415,0.22,0.22,0.22,0.22,0.12,,0.3928571429,,0.3928571429,0.2142857143,0.4458901563,0,2,1,0,7,1,0,0,,
010059,0.3929910099,0.6884446421,,,0.7587226348,0.22,0.22,0.22,0.22,0.12,,0.3928571429,0.3928571429,,0.2142857143,0.5874331422,1,0,2,0,5,1,0,0,,
010061,-0.473217299,-0.164254008,-1.826605461,0.2549240642,-0.692712841,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.569139136,3,3,6,8,9,5,2,1,3) # of groups=5,2
010062,-0.555542571,-0.114898194,0.8333166123,,-2.182455639,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,-0.289823065,1,2,3,0,6,2,0,0,,
010065,-0.430093481,0.6278250492,-0.499276788,0.6144659739,0.1018459897,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0810640847,3,3,8,8,10,5,2,1,3) # of groups=5,4
010069,-0.567619638,0.8596429645,0.8333166123,0.2591694025,-2.142730932,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0474643432,2,2,4,8,7,3,0,0,,
010073,-1.894648804,1.0730871118,0.797256076,,0.7134239588,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,0.1029021021,1,2,3,0,7,2,0,0,,
010078,0.0816498846,0.0306999801,-0.474077715,-0.528373365,-0.815160073,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.293641476,6,7,10,8,11,5,2,1,3) # of groups=5,2
010079,-0.938831313,-0.966558277,0.3964105312,0.7080538135,-0.85751931,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.279105871,4,6,7,8,10,5,2,1,3) # of groups=5,2
010083,0.0934603674,0.7672896812,0.2742385876,0.9130378335,0.397447088,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.4982594739,6,6,8,8,11,5,2,1,3) # of groups=5,5
010085,-0.133171974,-0.268035892,-0.267562669,-0.209103447,-0.488246929,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.251721908,6,7,7,8,11,5,2,1,3) # of groups=5,3
010086,-1.369329177,0.9478051657,0.3998634341,0.4870911062,-1.0782111,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.026990616,3,1,5,8,8,4,1,1,2) # of groups=4,3
010087,0.2277299793,-0.326112474,0.0056589624,-0.672701908,-0.148935769,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.186265889,4,6,7,8,7,5,2,1,3) # of groups=5,3
010089,-0.017310224,-0.706675704,0.4695996617,-0.7270043,-0.802887954,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.312252479,4,5,6,8,9,5,2,1,3) # of groups=5,2
010090,-1.270590825,0.4231687613,0.1535027537,-0.104618733,-0.27601171,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.208799775,7,8,9,8,8,5,2,1,3) # of groups=5,3
010091,,-0.049455414,,,-0.478408527,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,-0.20085063,0,0,2,0,7,1,0,0,,
010092,-0.840097488,-0.00045689,0.0182091158,-1.321209632,-1.826104627,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.690714632,7,8,11,8,11,5,2,1,3) # of groups=5,1
010095,,0.7618825108,,,0.0718069814,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,0.5183264416,0,0,1,0,4,1,0,0,,
010097,,0.2119806155,0.1113791437,0.2477657379,-3.082609035,0.22,0.22,0.22,0.22,0.12,0.2820512821,0.2820512821,,0.2820512821,0.1538461538,-0.313160865,0,1,2,8,7,2,0,0,,
010099,-0.926804243,-0.309143354,-0.748606532,0.7708282124,-0.465659425,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.322898833,2,2,6,8,8,3,0,0,,
