PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
10001,-0.193680681,0.4972998543,0.2175515963,0.134474104,-0.116504996,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1302612727,7,7,11,8,10,5,2,1,3) # of groups=5,4
10005,-1.260674344,1.0930578444,-0.056297606,-0.295170989,-0.465657423,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.170077611,6,7,9,8,12,5,2,1,3) # of groups=5,3
10006,-1.570296746,-0.0355249,-0.171409181,-1.006742925,-0.874025023,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.717357228,7,7,9,8,11,5,2,1,3) # of groups=5,1
10007,-3.50483784,-0.499952886,0.1649339591,-0.068313473,-0.755975795,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.950514548,3,2,7,8,7,4,1,1,2) # of groups=4,1
10008,,-0.343516109,,,-0.777439638,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,-0.49666559,0,0,2,0,6,1,0,0,,
10011,-0.203703871,-0.576403964,0.2057230355,0.0126958889,-2.186195156,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.385914979,7,7,9,8,8,5,2,1,3) # of groups=5,2
10012,-1.523307428,0.0141168664,0.3007605147,-0.694792269,-0.355050678,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.461314991,3,4,6,8,9,5,2,1,3) # of groups=5,2
10016,0.5239449493,-0.553550621,0.2810636737,-0.640585259,-0.227401026,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.11289612,7,7,9,8,8,5,2,1,3) # of groups=5,3
10018,,0.7918383283,0.0000200058,,1.6270387259,0.22,0.22,0.22,0.22,0.12,,0.3928571429,,0.3928571429,0.2142857143,0.6597383582,0,1,2,0,4,1,0,0,,
10019,-2.225066573,0.1036149698,-1.754359419,0.714465393,-0.229314675,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.723013799,4,7,9,8,10,5,2,1,3) # of groups=5,1
10021,-0.413405433,0.2701938557,-0.711291767,0.9017963892,-1.026472276,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.112772203,3,2,5,8,8,4,1,1,2) # of groups=4,2
10022,1.1103724605,0.0342612051,,,-1.935145831,0.22,0.22,0.22,0.22,0.12,,0.3928571429,0.3928571429,,0.2142857143,0.0350034047,1,0,3,0,6,2,0,0,,
10023,-1.208577692,-0.107780704,-0.858148783,-0.27644928,0.1723337547,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.518530371,7,7,11,8,10,5,2,1,3) # of groups=5,2
10024,-0.862097383,0.1796884934,-1.605683042,-0.421630113,-0.609881928,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.669324681,7,7,11,8,9,5,2,1,3) # of groups=5,1
10029,-1.461706301,-0.449285125,0.0674061405,0.2680994243,-0.649909697,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.424596053,7,8,11,8,10,5,2,1,3) # of groups=5,2
10033,0.0914533569,-0.366234212,-0.48808041,0.2498528845,-0.368656235,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.157100592,7,8,11,8,10,5,2,1,3) # of groups=5,3
10034,,-0.714413368,-0.161718033,,0.0833028267,0.22,0.22,0.22,0.22,0.12,,0.3928571429,,0.3928571429,0.2142857143,-0.326343874,0,1,2,0,5,1,0,0,,
10035,-0.520374301,-0.512083025,0.2935650144,0.1911269935,0.091349604,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.109546417,5,7,8,8,11,5,2,1,3) # of groups=5,3
10036,-0.587930635,-0.31878083,0.5175821348,-0.279570127,-0.731991329,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.23495284,4,3,7,8,9,5,2,1,3) # of groups=5,3
10039,-1.091624843,-0.023172926,-0.487900157,-0.256607557,-0.960754314,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.524337724,7,8,11,8,11,5,2,1,3) # of groups=5,2
10040,-0.033613845,-0.126715129,0.1352683924,-1.006742925,-2.031063849,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.470724434,7,7,9,8,9,5,2,1,3) # of groups=5,2
10044,-0.007392103,1.4983826994,,,0.119510334,0.22,0.22,0.22,0.22,0.12,,0.3928571429,0.3928571429,,0.2142857143,0.6113556632,2,0,4,0,6,2,0,0,,
10045,0.4598784777,-0.295360074,-0.080849014,1.8276243224,0.1615271874,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.4398678792,3,1,5,8,7,4,1,1,2) # of groups=4,4
10046,0.0274897334,-1.34980717,1.1662962608,-0.590183141,0.1400391435,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.147360252,6,7,7,8,7,5,2,1,3) # of groups=5,3
