PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
10001,-0.753203241,-0.070587232,0.556287796,0.0715079324,-0.050270782,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.049151338,7,8,11,8,11,5,2,1,3) # of groups=5,3
10005,-2.799754392,0.064653486,-0.114979293,0.0554115336,-0.071124861,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.62336209,6,7,10,8,14,5,2,1,3) # of groups=5,2
10006,-1.985179231,-0.079889258,0.3029720567,-0.966652256,-0.462506689,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.655825514,7,7,9,8,11,5,2,1,3) # of groups=5,2
10007,-2.05090245,-0.88548468,1.2005421486,0.3563967943,-0.642549772,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.380584574,4,2,6,8,7,4,1,1,2) # of groups=4,2
10008,-1.612699195,0.2612677285,-0.002330106,,-0.867720041,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,-0.515325578,3,1,4,0,8,3,1,1,1) # of groups=3,2
10011,-1.417537238,-0.84455109,-0.041951085,-0.319744512,-1.562684022,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.764754546,7,7,9,8,9,5,2,1,3) # of groups=5,2
10012,-0.578348875,-0.268845078,1.3731379658,-1.128436952,0.1042428064,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.12003931,5,3,7,8,10,5,2,1,3) # of groups=5,3
10016,0.9140307114,0.0722568297,0.7313770618,-0.47901933,0.0718650595,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.2811257672,7,7,9,8,10,5,2,1,3) # of groups=5,4
10018,,1.0961279441,0.155186285,,1.2424586006,0.22,0.22,0.22,0.22,0.12,,0.3928571429,,0.3928571429,0.2142857143,0.7578288616,0,1,1,0,3,1,0,0,,
10019,-0.045173333,-1.124709059,-0.353038748,0.4446640379,0.1406059852,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.220343844,5,7,9,8,12,5,2,1,3) # of groups=5,3
10021,0.9974688394,1.360270636,-0.538392158,0.5666853686,-0.052354701,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.5186446268,3,2,5,8,8,4,1,1,2) # of groups=4,4
10022,1.070170299,-0.378013984,0.924888465,,0.0972757927,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,0.4710550599,2,2,4,0,6,2,0,0,,
10023,-1.82459645,0.0397439909,-0.627437218,-0.142657474,-0.05216016,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.568347592,7,7,11,8,10,5,2,1,3) # of groups=5,2
10024,-1.243571138,-0.487748089,-0.809184224,-0.158488096,0.0754513371,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.58472398,7,7,11,8,11,5,2,1,3) # of groups=5,2
10029,-1.525641634,0.2026728564,0.294944986,0.2976168356,-1.231782844,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.308503472,7,8,11,8,12,5,2,1,3) # of groups=5,3
10033,0.4370652529,-1.081820632,-1.154941602,0.3582333289,-0.827484629,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.416420159,7,8,11,8,12,5,2,1,3) # of groups=5,2
10034,1.4138326444,1.0060371904,1.0036466603,-0.039375762,-0.629109267,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.6690178492,4,2,5,8,7,4,1,1,2) # of groups=4,4
10035,-1.336811008,-0.521954535,0.2260551325,-0.457898593,0.8644444424,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.356200648,6,7,8,8,12,5,2,1,3) # of groups=5,3
10036,0.78401171,0.4188771183,0.6003354039,-1.423960736,0.485565057,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.141705776,5,4,8,8,11,5,2,1,3) # of groups=5,4
10038,0.125312082,0.0343695989,-0.874577327,-0.305127731,0.1829904143,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.202446293,5,4,8,8,7,5,2,1,3) # of groups=5,3
10039,-1.57333016,-0.327891777,0.3110408057,0.155652258,-1.010831381,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.436896118,7,8,11,8,11,5,2,1,3) # of groups=5,2
10040,1.082843501,-0.665102381,-0.05677535,-0.891245695,-1.476505171,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.293842204,7,7,9,8,12,5,2,1,3) # of groups=5,3
