PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
010001,-0.846743843,-0.321757827,0.5914825408,0.0720996616,-0.320038261,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.149486874,7,8,11,8,9,5,2,1,3) # of groups=5,3
010005,-1.354201141,1.4191945629,-0.145973777,0.0561059151,0.0039648825,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.004996591,6,7,10,8,11,5,2,1,3) # of groups=5,3
010006,-1.645506543,0.0334436002,-0.269957076,-0.966378648,0.0266798785,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.623446121,7,7,9,8,9,5,2,1,3) # of groups=5,2
010007,-1.66357379,-0.804531136,1.1633325141,0.3571688831,0.8410658906,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.107544869,3,2,6,8,5,4,1,1,2) # of groups=4,3
010008,-2.0376095,-0.440342409,0.0325002245,,-1.103317869,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,-0.859483993,2,1,4,0,5,2,0,0,,
010011,-1.032451546,-1.670114982,0.1641876827,-0.319080478,-1.171469855,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.769217434,7,7,9,8,5,5,2,1,3) # of groups=5,2
010012,-0.659019744,0.1780826359,0.8910772161,-1.128399937,-0.255688977,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.18869984,5,4,8,8,8,5,2,1,3) # of groups=5,3
010016,0.2584807295,0.3184230431,0.7563950975,-0.478285759,-0.35376984,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1456505036,7,7,9,8,6,5,2,1,3) # of groups=5,4
010018,,0.0616305778,0.0325002245,,-0.355872039,0.22,0.22,0.22,0.22,0.12,,0.3928571429,,0.3928571429,0.2142857143,-0.039278336,0,1,1,0,2,0,0,0,,
010019,-0.362767073,-1.312743483,0.1028640528,0.4455213962,0.3022791392,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.211694027,4,7,9,8,8,5,2,1,3) # of groups=5,3
010021,0.6390612364,0.9995309605,-0.742069246,0.5677021731,-0.511555465,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.2607428714,3,2,5,8,5,4,1,1,2) # of groups=4,4
010022,0.6296241123,0.0135623724,0.0325002245,,0.519158713,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,0.2704488738,1,1,3,0,3,2,0,0,,
010023,-1.348792802,0.5182474167,-1.083165307,-0.142272638,-0.299879323,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.488301851,7,7,11,8,7,5,2,1,3) # of groups=5,2
010024,-1.152902757,-0.13214966,-1.002625447,-0.157869322,0.1698910141,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.517633459,7,7,11,8,8,5,2,1,3) # of groups=5,2
010029,-1.581752931,0.0933957595,0.4710655497,0.2983836342,-1.556498792,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.344939612,7,8,11,8,8,5,2,1,3) # of groups=5,2
010033,0.2075385555,-1.589895273,-1.119704717,0.3591856279,-0.47783234,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.528772558,7,8,11,8,10,5,2,1,3) # of groups=5,2
010034,0.5899164265,0.713399212,0.9883693957,-0.038437925,-0.397493823,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.4480151052,3,2,5,8,4,4,1,1,2) # of groups=4,4
010035,-0.850834774,-0.535996833,-0.139806595,-0.4574444,0.7657201117,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.344611759,5,7,8,8,7,5,2,1,3) # of groups=5,2
