PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
010001,-0.752931688,-0.07035536,0.5561272151,0.0714253467,-0.050316048,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.049099513,7,8,11,8,11,5,2,1,3) # of groups=5,3
010005,-2.799407493,0.0645589943,-0.114854185,0.055326665,-0.071057684,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.623289646,6,7,10,8,14,5,2,1,3) # of groups=5,2
010006,-1.98473829,-0.079649268,0.302982977,-0.966581549,-0.462671529,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.655677532,7,7,9,8,11,5,2,1,3) # of groups=5,2
010007,-2.050643034,-0.885253783,1.2003686797,0.3562724777,-0.642649284,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.380554159,4,2,6,8,7,4,1,1,2) # of groups=4,2
010008,-1.612518937,0.2612206445,-0.002780045,,-0.867725067,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,-0.515415695,3,1,4,0,8,3,1,1,1) # of groups=3,2
010011,-1.417237878,-0.844195402,-0.041873742,-0.319775476,-1.562567493,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.764586249,7,7,9,8,9,5,2,1,3) # of groups=5,2
010012,-0.578247776,-0.268760378,1.3730671734,-1.128343735,0.1043809363,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.119976925,5,3,7,8,10,5,2,1,3) # of groups=5,3
010016,0.9137973352,0.0724959307,0.7312992107,-0.479031976,0.0715511469,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.2810694477,7,7,9,8,10,5,2,1,3) # of groups=5,4
010018,,1.0969311259,0.1547342644,,1.2422918648,0.22,0.22,0.22,0.22,0.12,,0.3928571429,,0.3928571429,0.2142857143,0.7579310887,0,1,1,0,3,1,0,0,,
010019,-0.045074952,-1.124680469,-0.3528399,0.4445290565,0.1406110108,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.220301257,5,7,9,8,12,5,2,1,3) # of groups=5,3
010021,0.997415476,1.3601549376,-0.538482419,0.5665309341,-0.052395616,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.5185486903,3,2,5,8,8,4,1,1,2) # of groups=4,4
010022,1.0699182132,-0.377962243,0.9247186389,,0.0974544638,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,0.4709781405,2,2,4,0,6,2,0,0,,
010023,-1.824178544,0.0398819865,-0.627253247,-0.14270182,-0.052247857,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.5682051,7,7,11,8,10,5,2,1,3) # of groups=5,2
010024,-1.243277749,-0.487583436,-0.808954771,-0.158538357,0.0755268507,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.584574726,7,7,11,8,11,5,2,1,3) # of groups=5,2
010029,-1.52539755,0.2029331814,0.2948550799,0.2975050529,-1.231616312,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.308416889,7,8,11,8,12,5,2,1,3) # of groups=5,3
010033,0.4369691698,-1.081593687,-1.154908013,0.3581081941,-0.827416711,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.416403359,7,8,11,8,12,5,2,1,3) # of groups=5,2
010034,1.4137737905,1.0059583469,1.0034757934,-0.039447748,-0.629031482,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.6689434624,4,2,5,8,7,4,1,1,2) # of groups=4,4
010035,-1.336596837,-0.521809176,0.2260953091,-0.457898253,0.8644482912,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.356112176,6,7,8,8,12,5,2,1,3) # of groups=5,3
010036,0.7840480585,0.4189070736,0.6003696145,-1.423825269,0.485535347,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1417541266,5,4,8,8,11,5,2,1,3) # of groups=5,4
010038,0.1253373535,0.0343988752,-0.874372887,-0.305154536,0.182760059,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.202422856,5,4,8,8,7,5,2,1,3) # of groups=5,3
010039,-1.57315272,-0.327674368,0.3109534023,0.1555628314,-1.011075511,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.436877449,7,8,11,8,11,5,2,1,3) # of groups=5,2
010040,1.0825871787,-0.664660287,-0.056682268,-0.891185102,-1.476367557,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.293751012,7,7,9,8,12,5,2,1,3) # of groups=5,3
010044,2.0016188467,1.2854881867,0.0759771099,,0.9996342111,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,1.1023520729,3,1,5,0,5,3,1,1,1) # of groups=3,5
010045,-0.158703991,0.4448237809,0.3122485735,1.5526782513,0.1927542992,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.4963607711,3,1,6,8,8,4,1,1,2) # of groups=4,4
010046,0.4052664941,-0.651933464,0.8208082555,-0.669344842,0.5183160583,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0412531447,6,6,8,8,7,5,2,1,3) # of groups=5,4
