"State","HBIPS-2 Measure Description","S HBIPS-2 Overall Rate Per 1000","S HBIPS-2 Overall Num","S HBIPS-2 Overall Den","HBIPS-3 Measure Description","S HBIPS-3 Overall Rate Per 1000","S HBIPS-3 Overall Num","S HBIPS-3 Overall Den","SMD Measure Description","S SMD %","SUB-2/-2a Measure Description","S SUB-2 %","S SUB-2a %","SUB-3/-3a Measure Description","S SUB-3 %","S SUB-3a %","TOB-3/-3a Measure Description","S TOB-3 %","S TOB-3a %","TR-1 Measure Description","S TR-1 %","Start Date","End Date","FAPH Measure Description","S FAPH-30 %","S FAPH-7 %","FAPH Measure Start Date","FAPH Measure End Date","MedCont Measure Description","S MedCont %","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","S READM-30-IPF # IPFs Worse","S READM-30-IPF # IPFs Same","S READM-30-IPF # IPFs Better","S READM-30-IPF # IPFs Too Few","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","S IMM-2 %","Flu Season Start Date","Flu Season End Date"
GA,Hours of physical-restraint use,0.31,5879.09,796067,Hours of seclusion use,0.08,1435.68,796067,Screening for metabolic disorders (SMD),78,Alcohol use brief intervention provided or offered,69,78,Alcohol and other drug use disorder treatment provided or offered at discharge,60,51,Tobacco use treatment provided or offered at discharge,59,21,Transition record with specified elements received by discharged patients (TR1),66,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,54.2,30.7,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,70.6,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),1,36,0,3,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),74,10/01/2024,03/31/2025
HI,Hours of physical-restraint use,0.02,6.22,11351,Hours of seclusion use,0.00,0.57,11351,Screening for metabolic disorders (SMD),31,Alcohol use brief intervention provided or offered,26,70,Alcohol and other drug use disorder treatment provided or offered at discharge,69,64,Tobacco use treatment provided or offered at discharge,14,11,Transition record with specified elements received by discharged patients (TR1),48,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,82.8,44.8,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,1,0,1,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),60,10/01/2024,03/31/2025
IA,Hours of physical-restraint use,0.84,2274.75,112927,Hours of seclusion use,0.57,1541.48,112927,Screening for metabolic disorders (SMD),89,Alcohol use brief intervention provided or offered,57,48,Alcohol and other drug use disorder treatment provided or offered at discharge,66,47,Tobacco use treatment provided or offered at discharge,43,7,Transition record with specified elements received by discharged patients (TR1),68,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,72.4,43.9,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,83,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,13,0,4,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),85,10/01/2024,03/31/2025
ID,Hours of physical-restraint use,0.20,589.09,122689,Hours of seclusion use,0.20,589.58,122689,Screening for metabolic disorders (SMD),92,Alcohol use brief intervention provided or offered,86,89,Alcohol and other drug use disorder treatment provided or offered at discharge,88,70,Tobacco use treatment provided or offered at discharge,87,28,Transition record with specified elements received by discharged patients (TR1),77,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,64,39.9,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,71.2,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,9,0,1,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),95,10/01/2024,03/31/2025
IL,Hours of physical-restraint use,0.23,5132.04,935523,Hours of seclusion use,0.09,2010.26,935523,Screening for metabolic disorders (SMD),84,Alcohol use brief intervention provided or offered,60,79,Alcohol and other drug use disorder treatment provided or offered at discharge,73,56,Tobacco use treatment provided or offered at discharge,61,27,Transition record with specified elements received by discharged patients (TR1),60,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,59.1,33.4,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,76.8,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),5,39,1,7,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),79,10/01/2024,03/31/2025
IN,Hours of physical-restraint use,0.45,7241.57,669914,Hours of seclusion use,0.41,6679.1,674778,Screening for metabolic disorders (SMD),64,Alcohol use brief intervention provided or offered,54,77,Alcohol and other drug use disorder treatment provided or offered at discharge,62,54,Tobacco use treatment provided or offered at discharge,45,18,Transition record with specified elements received by discharged patients (TR1),57,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,61.8,36.2,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,78.5,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),2,42,1,6,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),66,10/01/2024,03/31/2025
KS,Hours of physical-restraint use,0.21,532.4,105708,Hours of seclusion use,0.18,446.79,105708,Screening for metabolic disorders (SMD),77,Alcohol use brief intervention provided or offered,44,64,Alcohol and other drug use disorder treatment provided or offered at discharge,58,49,Tobacco use treatment provided or offered at discharge,37,1,Transition record with specified elements received by discharged patients (TR1),55,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,66.4,44.4,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,78.1,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,16,0,2,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),80,10/01/2024,03/31/2025
KY,Hours of physical-restraint use,0.36,3104.62,362899,Hours of seclusion use,0.14,1223.67,362899,Screening for metabolic disorders (SMD),90,Alcohol use brief intervention provided or offered,75,78,Alcohol and other drug use disorder treatment provided or offered at discharge,85,64,Tobacco use treatment provided or offered at discharge,67,14,Transition record with specified elements received by discharged patients (TR1),81,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,56.8,31,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,78.9,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,27,0,4,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),81,10/01/2024,03/31/2025
LA,Hours of physical-restraint use,0.09,1819.37,872410,Hours of seclusion use,0.18,3710.91,878026,Screening for metabolic disorders (SMD),86,Alcohol use brief intervention provided or offered,63,82,Alcohol and other drug use disorder treatment provided or offered at discharge,68,56,Tobacco use treatment provided or offered at discharge,62,18,Transition record with specified elements received by discharged patients (TR1),77,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,49.7,31.5,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,78.1,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),5,65,1,5,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),80,10/01/2024,03/31/2025
MA,Hours of physical-restraint use,0.24,6250.87,1067009,Hours of seclusion use,0.09,2365.87,1067009,Screening for metabolic disorders (SMD),77,Alcohol use brief intervention provided or offered,57,56,Alcohol and other drug use disorder treatment provided or offered at discharge,75,58,Tobacco use treatment provided or offered at discharge,49,7,Transition record with specified elements received by discharged patients (TR1),66,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,72.3,45.2,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,79.3,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),5,42,1,3,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),71,10/01/2024,03/31/2025
