"State","HBIPS-2 Measure Description","S HBIPS-2 Overall Rate Per 1000","S HBIPS-2 Overall Num","S HBIPS-2 Overall Den","HBIPS-3 Measure Description","S HBIPS-3 Overall Rate Per 1000","S HBIPS-3 Overall Num","S HBIPS-3 Overall Den","SMD Measure Description","S SMD %","SUB-2/-2a Measure Description","S SUB-2 %","S SUB-2a %","SUB-3/-3a Measure Description","S SUB-3 %","S SUB-3a %","TOB-3/-3a Measure Description","S TOB-3 %","S TOB-3a %","TR-1 Measure Description","S TR-1 %","Start Date","End Date","FAPH Measure Description","S FAPH-30 %","S FAPH-7 %","FAPH Measure Start Date","FAPH Measure End Date","MedCont Measure Description","S MedCont %","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","S READM-30-IPF # IPFs Worse","S READM-30-IPF # IPFs Same","S READM-30-IPF # IPFs Better","S READM-30-IPF # IPFs Too Few","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","S IMM-2 %","Flu Season Start Date","Flu Season End Date"
NH,Hours of physical-restraint use,0.62,1771.05,119981,Hours of seclusion use,2.34,6752.5,119981,Screening for metabolic disorders (SMD),91,Alcohol use brief intervention provided or offered,44,60,Alcohol and other drug use disorder treatment provided or offered at discharge,57,44,Tobacco use treatment provided or offered at discharge,46,15,Transition record with specified elements received by discharged patients (TR1),58,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,81.2,55.9,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,84.1,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,11,0,1,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),69,10/01/2024,03/31/2025
NJ,Hours of physical-restraint use,0.38,9099.6,1001579,Hours of seclusion use,0.10,2519.12,1001579,Screening for metabolic disorders (SMD),93,Alcohol use brief intervention provided or offered,72,87,Alcohol and other drug use disorder treatment provided or offered at discharge,89,82,Tobacco use treatment provided or offered at discharge,78,31,Transition record with specified elements received by discharged patients (TR1),73,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,62.5,38.5,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,83,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),3,28,2,6,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),89,10/01/2024,03/31/2025
NM,Hours of physical-restraint use,0.12,372.48,132182,Hours of seclusion use,0.14,443.12,132182,Screening for metabolic disorders (SMD),93,Alcohol use brief intervention provided or offered,82,90,Alcohol and other drug use disorder treatment provided or offered at discharge,73,62,Tobacco use treatment provided or offered at discharge,80,40,Transition record with specified elements received by discharged patients (TR1),78,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,65.3,39.2,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,72.9,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,8,0,0,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),76,10/01/2024,03/31/2025
NV,Hours of physical-restraint use,0.09,488.61,237772,Hours of seclusion use,0.21,1169.97,237772,Screening for metabolic disorders (SMD),75,Alcohol use brief intervention provided or offered,48,82,Alcohol and other drug use disorder treatment provided or offered at discharge,71,65,Tobacco use treatment provided or offered at discharge,55,10,Transition record with specified elements received by discharged patients (TR1),58,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,48.2,26.8,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,68.1,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),5,11,0,1,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),62,10/01/2024,03/31/2025
NY,Hours of physical-restraint use,0.20,12308.55,2527749,Hours of seclusion use,0.15,8818.67,2527749,Screening for metabolic disorders (SMD),83,Alcohol use brief intervention provided or offered,58,76,Alcohol and other drug use disorder treatment provided or offered at discharge,75,57,Tobacco use treatment provided or offered at discharge,48,20,Transition record with specified elements received by discharged patients (TR1),69,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,65.4,47.1,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,83.3,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,67,5,15,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),76,10/01/2024,03/31/2025
OH,Hours of physical-restraint use,0.14,4572.96,1360042,Hours of seclusion use,0.21,6945.42,1360042,Screening for metabolic disorders (SMD),80,Alcohol use brief intervention provided or offered,69,77,Alcohol and other drug use disorder treatment provided or offered at discharge,70,56,Tobacco use treatment provided or offered at discharge,62,16,Transition record with specified elements received by discharged patients (TR1),65,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,60.5,35.1,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,76.6,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,58,2,8,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),73,10/01/2024,03/31/2025
OK,Hours of physical-restraint use,0.06,412.54,267527,Hours of seclusion use,0.15,985.03,267527,Screening for metabolic disorders (SMD),83,Alcohol use brief intervention provided or offered,37,86,Alcohol and other drug use disorder treatment provided or offered at discharge,46,39,Tobacco use treatment provided or offered at discharge,45,9,Transition record with specified elements received by discharged patients (TR1),75,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,59.4,32.2,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,73.5,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,23,1,1,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),77,10/01/2024,03/31/2025
OR,Hours of physical-restraint use,0.32,1429.61,185671,Hours of seclusion use,11.08,49358.86,185671,Screening for metabolic disorders (SMD),75,Alcohol use brief intervention provided or offered,27,62,Alcohol and other drug use disorder treatment provided or offered at discharge,61,49,Tobacco use treatment provided or offered at discharge,41,8,Transition record with specified elements received by discharged patients (TR1),26,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,61.9,37.4,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,78.7,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,11,0,2,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),70,10/01/2024,03/31/2025
PA,Hours of physical-restraint use,0.15,4767.77,1342941,Hours of seclusion use,0.15,4889.05,1342941,Screening for metabolic disorders (SMD),85,Alcohol use brief intervention provided or offered,56,54,Alcohol and other drug use disorder treatment provided or offered at discharge,73,54,Tobacco use treatment provided or offered at discharge,58,13,Transition record with specified elements received by discharged patients (TR1),62,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,63.6,39.5,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,80.8,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,63,0,6,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),81,10/01/2024,03/31/2025
PR,Hours of physical-restraint use,0.13,446.76,139056,Hours of seclusion use,0.03,98.17,139056,Screening for metabolic disorders (SMD),62,Alcohol use brief intervention provided or offered,16,99,Alcohol and other drug use disorder treatment provided or offered at discharge,76,75,Tobacco use treatment provided or offered at discharge,39,32,Transition record with specified elements received by discharged patients (TR1),54,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,47.4,27.6,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,2,0,6,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),49,10/01/2024,03/31/2025
RI,Hours of physical-restraint use,0.40,2335.64,243529,Hours of seclusion use,0.15,900.71,243529,Screening for metabolic disorders (SMD),90,Alcohol use brief intervention provided or offered,96,93,Alcohol and other drug use disorder treatment provided or offered at discharge,93,79,Tobacco use treatment provided or offered at discharge,66,5,Transition record with specified elements received by discharged patients (TR1),79,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,58.8,36.4,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,76.6,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),1,6,0,0,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),90,10/01/2024,03/31/2025
SC,Hours of physical-restraint use,0.06,701.2,476382,Hours of seclusion use,0.18,2008.24,476382,Screening for metabolic disorders (SMD),91,Alcohol use brief intervention provided or offered,67,84,Alcohol and other drug use disorder treatment provided or offered at discharge,74,69,Tobacco use treatment provided or offered at discharge,54,16,Transition record with specified elements received by discharged patients (TR1),61,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,60.2,33.7,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,75.8,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,22,0,3,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),76,10/01/2024,03/31/2025
SD,Hours of physical-restraint use,0.25,101.19,17134,Hours of seclusion use,0.27,111.2,17134,Screening for metabolic disorders (SMD),78,Alcohol use brief intervention provided or offered,57,52,Alcohol and other drug use disorder treatment provided or offered at discharge,27,21,Tobacco use treatment provided or offered at discharge,87,1,Transition record with specified elements received by discharged patients (TR1),58,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,69.6,35.4,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,85.8,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,3,0,0,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),58,10/01/2024,03/31/2025
TN,Hours of physical-restraint use,0.31,5216.21,696350,Hours of seclusion use,0.20,3421.27,696350,Screening for metabolic disorders (SMD),81,Alcohol use brief intervention provided or offered,56,70,Alcohol and other drug use disorder treatment provided or offered at discharge,68,45,Tobacco use treatment provided or offered at discharge,58,7,Transition record with specified elements received by discharged patients (TR1),65,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,58.3,33.7,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,78.1,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),6,33,0,5,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),72,10/01/2024,03/31/2025
TX,Hours of physical-restraint use,0.07,4178.92,2325550,Hours of seclusion use,0.16,8769.47,2325550,Screening for metabolic disorders (SMD),81,Alcohol use brief intervention provided or offered,69,78,Alcohol and other drug use disorder treatment provided or offered at discharge,73,55,Tobacco use treatment provided or offered at discharge,71,21,Transition record with specified elements received by discharged patients (TR1),74,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,59.9,36.9,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,72,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),7,75,1,14,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),78,10/01/2024,03/31/2025
UT,Hours of physical-restraint use,2.46,10742.26,182304,Hours of seclusion use,0.49,2131.61,182304,Screening for metabolic disorders (SMD),91,Alcohol use brief intervention provided or offered,72,86,Alcohol and other drug use disorder treatment provided or offered at discharge,82,76,Tobacco use treatment provided or offered at discharge,62,29,Transition record with specified elements received by discharged patients (TR1),74,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,65.7,42.9,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,74.6,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,15,0,1,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),64,10/01/2024,03/31/2025
VA,Hours of physical-restraint use,0.65,10009.68,640320,Hours of seclusion use,0.68,10467.99,640320,Screening for metabolic disorders (SMD),90,Alcohol use brief intervention provided or offered,63,75,Alcohol and other drug use disorder treatment provided or offered at discharge,78,73,Tobacco use treatment provided or offered at discharge,43,27,Transition record with specified elements received by discharged patients (TR1),40,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,57.7,34.5,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,74.1,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),2,34,1,0,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),79,10/01/2024,03/31/2025
VT,Hours of physical-restraint use,0.64,644.75,41653,Hours of seclusion use,0.33,327.37,41653,Screening for metabolic disorders (SMD),26,Alcohol use brief intervention provided or offered,71,54,Alcohol and other drug use disorder treatment provided or offered at discharge,91,91,Tobacco use treatment provided or offered at discharge,28,2,Transition record with specified elements received by discharged patients (TR1),78,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,77.4,59.6,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,78.8,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,2,0,1,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),37,10/01/2024,03/31/2025
WA,Hours of physical-restraint use,0.89,9028.11,420598,Hours of seclusion use,3.91,39501.42,420598,Screening for metabolic disorders (SMD),75,Alcohol use brief intervention provided or offered,46,68,Alcohol and other drug use disorder treatment provided or offered at discharge,59,41,Tobacco use treatment provided or offered at discharge,36,5,Transition record with specified elements received by discharged patients (TR1),47,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,54.4,28.8,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,77,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,17,2,1,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),78,10/01/2024,03/31/2025
WI,Hours of physical-restraint use,0.51,4021.77,328481,Hours of seclusion use,0.95,7453.01,328481,Screening for metabolic disorders (SMD),63,Alcohol use brief intervention provided or offered,65,79,Alcohol and other drug use disorder treatment provided or offered at discharge,65,54,Tobacco use treatment provided or offered at discharge,36,7,Transition record with specified elements received by discharged patients (TR1),45,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,61.4,31.3,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,86,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,24,0,2,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),72,10/01/2024,03/31/2025
WV,Hours of physical-restraint use,0.18,1028.21,243510,Hours of seclusion use,0.06,367.17,243510,Screening for metabolic disorders (SMD),95,Alcohol use brief intervention provided or offered,80,90,Alcohol and other drug use disorder treatment provided or offered at discharge,84,75,Tobacco use treatment provided or offered at discharge,58,17,Transition record with specified elements received by discharged patients (TR1),74,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,62.1,34.1,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,83.1,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,12,1,1,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),80,10/01/2024,03/31/2025
WY,Hours of physical-restraint use,0.08,52.45,28284,Hours of seclusion use,0.10,64.59,28284,Screening for metabolic disorders (SMD),89,Alcohol use brief intervention provided or offered,83,90,Alcohol and other drug use disorder treatment provided or offered at discharge,73,68,Tobacco use treatment provided or offered at discharge,84,16,Transition record with specified elements received by discharged patients (TR1),80,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,64.7,31.7,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,69.4,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,4,0,1,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),85,10/01/2024,03/31/2025
