"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Pennsylvania,98,2,0,99,93,6,1,96,91,7,2,96,88,10,2,95,119706,34073,29,07/01/2024,06/30/2025
Puerto Rico,96,3,1,98,90,8,2,94,94,5,1,97,91,9,0,98,1240,269,23,07/01/2024,06/30/2025
Rhode Island,98,2,0,99,92,6,2,95,92,6,2,96,90,7,3,95,7613,1896,25,07/01/2024,06/30/2025
South Carolina,98,2,0,99,93,6,1,96,91,7,2,96,90,8,2,96,36757,9831,27,07/01/2024,06/30/2025
South Dakota,98,2,0,99,93,6,1,96,89,9,2,95,87,12,1,95,4414,1440,33,07/01/2024,06/30/2025
Tennessee,97,3,0,99,93,6,1,96,90,8,2,96,89,9,2,95,103171,26555,26,07/01/2024,06/30/2025
Texas,97,3,0,98,92,6,2,95,90,8,2,96,88,9,3,95,314360,67752,22,07/01/2024,06/30/2025
Utah,97,3,0,99,92,7,1,95,90,8,2,95,87,11,2,95,24407,6757,28,07/01/2024,06/30/2025
Vermont,99,1,0,99,93,6,1,96,91,7,2,96,93,6,1,98,1255,376,30,07/01/2024,06/30/2025
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,97,3,0,99,92,7,1,96,90,9,1,96,88,10,2,95,60460,15933,26,07/01/2024,06/30/2025
Washington,97,3,0,99,92,7,1,96,89,9,2,95,88,10,2,95,90258,23193,26,07/01/2024,06/30/2025
West Virginia,98,2,0,99,93,6,1,96,94,5,1,97,94,5,1,97,3046,941,32,07/01/2024,06/30/2025
Wisconsin,98,2,0,99,94,5,1,96,91,7,2,96,88,10,2,95,48217,14749,31,07/01/2024,06/30/2025
Wyoming,97,3,0,99,92,7,1,96,89,9,2,95,88,10,2,95,8776,2428,28,07/01/2024,06/30/2025
