"Measure ID","Measure Name","Condition","Category","Score","Footnote","Start Date","End Date"
OP_18c_MEDIUM_MIN,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better (Moderate),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,252,25,07/01/2024,06/30/2025
OP_18c_NINETIETH,Top ten percent time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,130,25,07/01/2024,06/30/2025
OP_18c_VERY_HIGH_MIN,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better (Very High),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,307,25,07/01/2024,06/30/2025
OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Emergency Department,OP-18,287,,07/01/2024,06/30/2025
OP_18d_HIGH_MIN,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better (High),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,341,,07/01/2024,06/30/2025
OP_18d_LOW_MIN,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better (Low),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,264,,07/01/2024,06/30/2025
OP_18d_MEDIUM_MIN,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better (Moderate),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,338,,07/01/2024,06/30/2025
OP_18d_NINETIETH,Top ten percent time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,187,,07/01/2024,06/30/2025
OP_18d_VERY_HIGH_MIN,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better (Very High),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,360,,07/01/2024,06/30/2025
OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,Emergency Department,Left before being seen,2,"25, 26",01/01/2024,12/31/2024
OP_22_NINETIETH,Top ten percent patients who left the emergency department before being seen Lower percentages are better,Emergency Department,Left before being seen,0,"25, 26",01/01/2024,12/31/2024
OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,Emergency Department,Head CT results,69,25,07/01/2024,06/30/2025
OP_23_NINETIETH,Top ten percent patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,Emergency Department,Head CT results,100,25,07/01/2024,06/30/2025
OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,93,"25, 26",01/01/2024,12/31/2024
OP_29_NINETIETH,Top ten percent patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,100,"25, 26",01/01/2024,12/31/2024
