"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
MT,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.91,,01/01/2024,12/31/2024
NC,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2024,12/31/2024
ND,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,14,01/01/2024,12/31/2024
NE,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2024,12/31/2024
NH,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,14,01/01/2024,12/31/2024
NJ,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.08,,01/01/2024,12/31/2024
NM,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.94,,01/01/2024,12/31/2024
NV,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.05,,01/01/2024,12/31/2024
NY,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2024,12/31/2024
OH,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2024,12/31/2024
OK,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2024,12/31/2024
OR,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.89,,01/01/2024,12/31/2024
PA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2024,12/31/2024
PR,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2024,12/31/2024
RI,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2024,12/31/2024
SC,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2024,12/31/2024
SD,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,14,01/01/2024,12/31/2024
TN,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,,01/01/2024,12/31/2024
TX,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.03,,01/01/2024,12/31/2024
UT,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,01/01/2024,12/31/2024
VA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,01/01/2024,12/31/2024
VI,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2024,12/31/2024
VT,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,14,01/01/2024,12/31/2024
WA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.92,14,01/01/2024,12/31/2024
WI,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.90,,01/01/2024,12/31/2024
WV,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2024,12/31/2024
WY,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.93,,01/01/2024,12/31/2024
