"State","Year","Avg ASC-9 State Rate","Median ASC-9 State Rate","Avg ASC-11 State Rate","Median ASC-11 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 State Rate","Median ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-14 State Rate","ASC-17 Better","ASC-17 No Different","ASC-17 Worse","ASC-17 Too Small","ASC-18 Better","ASC-18 No Different","ASC-18 Worse","ASC-18 Too Small","Avg ASC-20 State Rate"
CO,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),92.50
CT,2022,87.24,90.48,N/A (5),N/A (5),0,26,0,1,95.73,99.17,0.38,0.39,0,23,0,4,0,5,0,3,N/A (5)
CT,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),96.30
DC,2022,78.75,78.00,N/A (5),N/A (5),0,2,0,0,100.00,100.00,N/A (5),N/A (5),0,1,0,1,0,1,0,0,N/A (5)
DC,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),99.50
DE,2022,89.43,92.59,100.00,100.00,0,13,0,1,98.40,99.07,0.28,0.08,0,9,0,1,0,2,0,1,N/A (5)
DE,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),96.60
FL,2022,77.86,93.04,99.72,100.00,2,185,2,13,96.80,100.00,0.30,0.19,0,158,0,92,0,61,1,44,N/A (5)
FL,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),79.00
GA,2022,79.74,88.22,99.79,100.00,1,71,0,6,97.04,100.00,0.29,0.25,0,73,0,94,0,29,0,12,N/A (5)
GA,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),84.80
GU,2022,0.00,0.00,N/A (5),N/A (5),0,2,0,0,100.00,100.00,0.55,0.55,0,1,0,1,0,0,0,1,N/A (5)
GU,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),85.20
HI,2022,80.47,82.92,100.00,100.00,0,10,0,1,98.33,100.00,0.34,0.22,0,6,0,1,0,3,0,2,N/A (5)
HI,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),86.60
IA,2022,63.61,100.00,N/A (5),N/A (5),0,18,0,0,99.57,100.00,0.21,0.16,0,16,0,3,0,5,2,3,N/A (5)
IA,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),91.60
ID,2022,89.13,96.83,99.87,99.86,0,13,1,2,99.07,100.00,0.22,0.18,0,14,0,9,0,2,0,2,N/A (5)
ID,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),81.20
IL,2022,79.66,93.75,99.96,100.00,0,51,0,12,88.45,100.00,0.37,0.27,0,64,0,21,0,19,0,13,N/A (5)
IL,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),92.00
IN,2022,87.50,98.07,99.83,100.00,0,40,0,3,96.17,99.56,0.17,0.09,0,54,0,19,0,18,0,6,N/A (5)
IN,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),90.80
KS,2022,91.86,96.30,N/A (5),N/A (5),0,24,0,4,98.47,100.00,0.29,0.25,0,21,0,10,0,5,0,13,N/A (5)
