"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
010065,MSPB-1,0.989230,,01/01/2019,12/31/2019
010069,MSPB-1,1.013255,,01/01/2019,12/31/2019
010073,MSPB-1,0.971480,,01/01/2019,12/31/2019
010078,MSPB-1,1.029918,,01/01/2019,12/31/2019
010079,MSPB-1,0.963704,,01/01/2019,12/31/2019
010083,MSPB-1,0.951887,,01/01/2019,12/31/2019
010085,MSPB-1,0.985957,,01/01/2019,12/31/2019
010086,MSPB-1,1.017158,,01/01/2019,12/31/2019
010087,MSPB-1,0.994704,,01/01/2019,12/31/2019
010089,MSPB-1,1.014207,,01/01/2019,12/31/2019
010090,MSPB-1,0.975794,,01/01/2019,12/31/2019
010091,MSPB-1,0.806599,,01/01/2019,12/31/2019
010092,MSPB-1,0.988740,,01/01/2019,12/31/2019
010095,MSPB-1,1.040819,,01/01/2019,12/31/2019
010097,MSPB-1,0.946567,,01/01/2019,12/31/2019
010099,MSPB-1,1.003518,,01/01/2019,12/31/2019
010100,MSPB-1,0.956337,,01/01/2019,12/31/2019
010101,MSPB-1,0.955343,,01/01/2019,12/31/2019
010102,MSPB-1,0.933602,,01/01/2019,12/31/2019
010103,MSPB-1,1.014047,,01/01/2019,12/31/2019
010104,MSPB-1,1.023866,,01/01/2019,12/31/2019
010108,MSPB-1,0.947684,,01/01/2019,12/31/2019
010109,MSPB-1,0.875284,,01/01/2019,12/31/2019
010110,MSPB-1,1.123498,,01/01/2019,12/31/2019
010112,MSPB-1,0.901927,,01/01/2019,12/31/2019
010113,MSPB-1,0.996281,,01/01/2019,12/31/2019
010114,MSPB-1,1.013490,,01/01/2019,12/31/2019
010118,MSPB-1,0.981830,,01/01/2019,12/31/2019
010120,MSPB-1,1.088242,,01/01/2019,12/31/2019
010125,MSPB-1,0.916808,,01/01/2019,12/31/2019
010126,MSPB-1,0.973036,,01/01/2019,12/31/2019
010128,MSPB-1,0.997456,,01/01/2019,12/31/2019
010129,MSPB-1,0.953056,,01/01/2019,12/31/2019
010130,MSPB-1,0.927035,,01/01/2019,12/31/2019
010131,MSPB-1,0.958595,,01/01/2019,12/31/2019
010138,MSPB-1,1.172150,,01/01/2019,12/31/2019
010139,MSPB-1,1.079399,,01/01/2019,12/31/2019
010144,MSPB-1,0.960405,,01/01/2019,12/31/2019
010148,MSPB-1,0.916417,,01/01/2019,12/31/2019
010149,MSPB-1,0.988409,,01/01/2019,12/31/2019
010150,MSPB-1,1.015814,,01/01/2019,12/31/2019
010157,MSPB-1,1.000544,,01/01/2019,12/31/2019
010158,MSPB-1,0.976946,,01/01/2019,12/31/2019
010164,MSPB-1,0.978418,,01/01/2019,12/31/2019
010168,MSPB-1,0.919886,,01/01/2019,12/31/2019
010169,MSPB-1,0.884606,,01/01/2019,12/31/2019
010173,MSPB-1,0.890503,,01/01/2019,12/31/2019
020001,MSPB-1,0.923110,,01/01/2019,12/31/2019
020006,MSPB-1,0.826209,,01/01/2019,12/31/2019
020008,MSPB-1,0.938032,,01/01/2019,12/31/2019
020012,MSPB-1,0.823364,,01/01/2019,12/31/2019
020017,MSPB-1,0.896693,,01/01/2019,12/31/2019
020018,MSPB-1,0.779392,,01/01/2019,12/31/2019
020024,MSPB-1,0.861511,,01/01/2019,12/31/2019
020026,MSPB-1,0.909977,,01/01/2019,12/31/2019
030002,MSPB-1,0.972572,,01/01/2019,12/31/2019
030006,MSPB-1,1.022003,,01/01/2019,12/31/2019
030007,MSPB-1,0.969518,,01/01/2019,12/31/2019
030010,MSPB-1,1.012152,,01/01/2019,12/31/2019
030011,MSPB-1,1.035693,,01/01/2019,12/31/2019
030012,MSPB-1,0.991372,,01/01/2019,12/31/2019
030013,MSPB-1,0.980213,,01/01/2019,12/31/2019
030014,MSPB-1,0.993993,,01/01/2019,12/31/2019
030016,MSPB-1,0.955324,,01/01/2019,12/31/2019
030022,MSPB-1,0.988226,,01/01/2019,12/31/2019
030023,MSPB-1,1.015037,,01/01/2019,12/31/2019
030024,MSPB-1,0.996080,,01/01/2019,12/31/2019
030030,MSPB-1,1.035721,,01/01/2019,12/31/2019
030036,MSPB-1,1.042383,,01/01/2019,12/31/2019
030037,MSPB-1,0.978249,,01/01/2019,12/31/2019
