PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
010001,0.2961102941,0.3614061185,0.3448829171,0.0420715789,-0.48467763,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1716222843,7,7,11,8,11,5,2,1,3) # of groups=5,4
010005,-0.843034003,0.6312031549,-0.40341359,0.1251813427,-0.352655634,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.150132557,6,7,9,8,12,5,2,1,3) # of groups=5,3
010006,-1.5406767,-0.104890188,0.6859111072,-1.301784735,-0.458178233,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.552498301,7,8,9,8,10,5,2,1,3) # of groups=5,2
010007,-3.330700307,-0.931587329,-0.329281418,1.2987190276,-3.269085304,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-1.116717242,3,3,7,8,7,5,2,1,3) # of groups=5,1
010008,-0.473160713,-0.691563186,,,-0.593934697,0.22,0.22,0.22,0.22,0.12,,0.3928571429,0.3928571429,,0.2142857143,-0.584841824,1,0,2,0,6,1,0,0,,
010011,-0.554084761,-0.590400623,0.3028124157,-0.033641297,-1.05404738,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.319054824,7,7,9,8,8,5,2,1,3) # of groups=5,2
010012,-0.875295698,-0.451709957,0.1459645039,0.3872363979,-0.086161863,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.184976469,4,4,8,8,10,5,2,1,3) # of groups=5,3
010016,0.4854091554,-0.68378899,-0.594147789,-0.868728086,-0.388508939,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.412097329,7,7,9,8,8,5,2,1,3) # of groups=5,2
010018,,0.7730996119,0.0874251755,,1.27118708,0.22,0.22,0.22,0.22,0.12,,0.3928571429,,0.3928571429,0.2142857143,0.6104605407,0,1,1,0,4,1,0,0,,
010019,-1.285426837,-0.316596665,-0.614244433,0.657167026,-0.962716519,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.458528182,5,7,7,8,11,5,2,1,3) # of groups=5,2
