"State","Year","Avg ASC-9 State Rate","Median ASC-9 State Rate","Avg ASC-11 State Rate","Median ASC-11 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 State Rate","Median ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-14 State Rate","ASC-17 Better","ASC-17 No Different","ASC-17 Worse","ASC-17 Too Small","ASC-18 Better","ASC-18 No Different","ASC-18 Worse","ASC-18 Too Small","ASC-19 Better","ASC-19 No Different","ASC-19 Worse","ASC-19 Too Small","Avg ASC-20 State Rate"
ID,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),81.60
IL,2022,79.66,93.75,99.96,100.00,0,49,0,9,88.45,100.00,0.37,0.27,0,66,0,22,0,19,0,13,0,45,2,50,N/A (5)
IL,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),93.50
IN,2022,87.50,98.07,99.83,100.00,0,42,1,2,96.17,99.56,0.17,0.09,0,56,0,27,0,16,3,6,0,42,0,39,N/A (5)
IN,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),84.70
KS,2022,91.86,96.30,N/A (5),N/A (5),0,23,0,3,98.47,100.00,0.29,0.25,0,18,0,15,0,7,0,11,0,21,0,24,N/A (5)
KS,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),89.70
KY,2022,89.75,91.16,N/A (5),N/A (5),0,15,0,0,99.85,100.00,0.21,0.16,0,8,0,11,0,4,0,4,0,14,0,11,N/A (5)
KY,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),90.10
LA,2022,89.05,94.59,N/A (5),N/A (5),0,25,1,5,99.86,100.00,0.37,0.28,0,24,0,21,0,4,0,7,0,22,0,25,N/A (5)
