PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
10001,-0.846204027,-0.329172209,0.5913662578,0.0714288043,-0.321082863,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.151297802,7,8,11,8,9,5,2,1,3) # of groups=5,3
10005,-1.353402004,1.4168038504,-0.147182003,0.0555381494,0.0033160489,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.005815316,6,7,10,8,11,5,2,1,3) # of groups=5,3
10006,-1.644539562,0.02612044,-0.270074555,-0.965774284,0.0262709014,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.624786443,7,7,9,8,9,5,2,1,3) # of groups=5,2
10007,-1.662255804,-0.803157788,1.1612872784,0.356117227,0.8413007749,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.107605906,3,2,6,8,5,4,1,1,2) # of groups=4,3
10008,-2.035450072,-0.43841108,0.0318118409,,-1.106907938,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,-0.859076668,2,1,4,0,5,2,0,0,,
10011,-1.031764335,-1.670875001,0.1636354473,-0.319316389,-1.173673905,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.76967133,7,7,9,8,5,5,2,1,3) # of groups=5,2
10012,-0.658545812,0.1776560902,0.8907902056,-1.127293818,-0.2574034,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.188714942,5,4,8,8,8,5,2,1,3) # of groups=5,3
10016,0.2583421521,0.3156674198,0.7554213625,-0.478302491,-0.354872349,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1446635757,7,7,9,8,6,5,2,1,3) # of groups=5,4
10018,,0.0620152403,0.0318118409,,-0.356757497,0.22,0.22,0.22,0.22,0.12,,0.3928571429,,0.3928571429,0.2142857143,-0.039587396,0,1,1,0,2,0,0,0,,
10019,-0.362650413,-1.324539134,0.1021772585,0.4440898862,0.3019559265,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.214768217,4,7,9,8,8,5,2,1,3) # of groups=5,3
10021,0.6388986744,0.9984656544,-0.788960612,0.5660886805,-0.51249652,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.2496887451,3,2,5,8,5,4,1,1,2) # of groups=4,4
10022,0.6317415372,0.0146720191,0.0318118409,,0.5188466334,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,0.2711169018,1,1,3,0,3,2,0,0,,
10023,-1.347876783,0.516104424,-1.084782133,-0.142780365,-0.300681035,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.489135393,7,7,11,8,7,5,2,1,3) # of groups=5,2
10024,-1.152132302,-0.134351508,-1.001522624,-0.158468001,0.168978551,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.51794695,7,7,11,8,8,5,2,1,3) # of groups=5,2
10029,-1.580832684,0.0902076133,0.4711914859,0.2971380341,-1.559469378,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.346041346,7,8,11,8,8,5,2,1,3) # of groups=5,2
10033,0.2074173407,-1.595643776,-1.120264135,0.3578563163,-0.479087616,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.53063005,7,8,11,8,10,5,2,1,3) # of groups=5,2
10034,0.5898569702,0.7133864618,0.9861351874,-0.039304715,-0.399823994,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.4470373797,3,2,5,8,4,4,1,1,2) # of groups=4,4
10035,-0.850074707,-0.535255523,-0.139828528,-0.457707046,0.7657880286,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.344335913,5,7,8,8,7,5,2,1,3) # of groups=5,2
10036,0.4520828454,0.9553907783,-0.085952713,-1.422630236,-0.806806016,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.119060773,5,4,7,8,5,5,2,1,3) # of groups=5,3
10038,0.269538761,1.4413481035,-0.589142323,-0.304828529,0.0216044587,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1823140578,4,4,8,8,5,5,2,1,3) # of groups=5,4
10039,-1.333757637,-0.551075653,0.1376192648,0.1552423637,-0.390501962,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.397094001,7,8,11,8,8,5,2,1,3) # of groups=5,2
10040,0.1710266579,-0.42275278,0.0511205603,-0.890448863,-1.137789423,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.376566704,7,7,9,8,9,5,2,1,3) # of groups=5,2
10044,1.5545553895,0.421718722,0.0318118409,,0.9911253962,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,0.7188640475,3,1,5,0,2,2,1,0,,
10045,-0.180773745,0.3683755386,-1.595449181,1.5514429352,0.0524350761,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0378832297,3,2,5,8,6,4,1,1,2) # of groups=4,3
