PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
10001,-0.648410934,0.2845867876,0.3108040687,-0.138317751,-1.031596492,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.165885901,7,8,11,8,10,5,2,1,3) # of groups=5,3
10005,-1.566437942,0.5605090996,-0.228638461,-0.176646838,-0.305587594,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.347137622,6,7,10,8,11,5,2,1,3) # of groups=5,2
10006,-1.696213141,-0.554221858,-0.08756162,-1.248598661,-0.181962244,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.810886431,7,7,9,8,11,5,2,1,3) # of groups=5,1
10007,-2.409810165,-0.487315039,0.027364616,0.9815900311,-0.663814411,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.495055252,3,2,6,8,7,4,1,1,2) # of groups=4,2
10008,-1.782135681,0.4420657735,,,-1.155604977,0.22,0.22,0.22,0.22,0.12,,0.3928571429,0.3928571429,,0.2142857143,-0.774085673,1,0,2,0,6,1,0,0,,
10011,-0.518783974,-0.62297425,0.4268909201,0.1234472585,-2.394310737,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.417429698,7,7,9,8,8,5,2,1,3) # of groups=5,2
10012,-0.525798121,0.1949330751,0.7530794163,-0.720753151,-0.340138376,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.106495137,4,4,8,8,9,5,2,1,3) # of groups=5,3
10016,0.5349169285,0.3270044044,0.2973367006,-0.724762937,-0.25273345,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0652609072,7,7,9,8,10,5,2,1,3) # of groups=5,4
10018,,0.9409139455,-0.018005401,,1.3785469585,0.22,0.22,0.22,0.22,0.12,,0.3928571429,,0.3928571429,0.2142857143,0.6579741334,0,1,2,0,4,1,0,0,,
10019,-1.520362248,-0.746997353,-1.593350057,0.4316134261,0.3431219369,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.713226538,4,7,9,8,9,5,2,1,3) # of groups=5,1
10021,0.340897013,0.4355398045,-0.283542652,0.5809176577,-1.099267444,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1043265078,3,2,5,8,9,4,1,1,2) # of groups=4,3
10022,0.8296782451,-0.064410329,1.5413414157,,-1.330983058,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,0.4458154949,2,1,4,0,6,2,0,0,,
10023,-1.458318321,0.3569471068,-1.211352582,-0.236540476,-0.521798072,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.623453908,7,7,11,8,10,5,2,1,3) # of groups=5,2
10024,-1.02454173,0.5118701198,-1.900427837,-0.590026531,-0.773955115,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.753562329,7,7,11,8,10,5,2,1,3) # of groups=5,1
10029,-1.636539423,-0.366095008,-0.642620121,0.5664790385,-0.517761938,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.519462046,7,8,11,8,10,5,2,1,3) # of groups=5,2
10033,0.5796271525,-0.604617118,-0.510363995,0.5382982668,-0.18462582,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.021507351,7,8,11,8,10,5,2,1,3) # of groups=5,3
10034,-0.638796631,-0.898138788,-0.192207178,,-0.149437099,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,-0.510697209,3,1,4,0,5,3,1,1,1) # of groups=3,2
