PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
010001,-0.647057623,0.2840811088,0.3120743928,-0.12783622,-1.024043733,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.162207683,7,8,11,8,10,5,2,1,3) # of groups=5,3
010005,-1.564103455,0.5603685418,-0.237843892,-0.16683798,-0.302741879,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.346180718,6,7,10,8,11,5,2,1,3) # of groups=5,2
010006,-1.694317663,-0.554988141,-0.089526158,-1.241107967,-0.179350227,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.809108811,7,7,9,8,11,5,2,1,3) # of groups=5,1
010007,-2.407149813,-0.488552986,0.0226565407,0.9938055086,-0.659759904,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.492604153,3,2,6,8,7,4,1,1,2) # of groups=4,2
010008,-1.778680055,0.4416290646,,,-1.150224363,0.22,0.22,0.22,0.22,0.12,,0.3928571429,0.3928571429,,0.2142857143,-0.771746681,1,0,2,0,6,1,0,0,,
010011,-0.517348842,-0.624302069,0.4287695822,0.1342234691,-2.385054991,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.413511328,7,7,9,8,8,5,2,1,3) # of groups=5,2
010012,-0.524043734,0.1940758626,0.7640124901,-0.712774194,-0.335390443,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.10156736,4,4,8,8,9,5,2,1,3) # of groups=5,3
010016,0.5359681388,0.3266344393,0.2994155715,-0.716065932,-0.249843354,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0681282853,7,7,9,8,10,5,2,1,3) # of groups=5,4
010018,,0.9411760513,-0.021058603,,1.3788555603,0.22,0.22,0.22,0.22,0.12,,0.3928571429,,0.3928571429,0.2142857143,0.6569437604,0,1,2,0,4,1,0,0,,
010019,-1.517079462,-0.748037651,-1.619192086,0.4422214332,0.3457341638,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.715771209,4,7,9,8,9,5,2,1,3) # of groups=5,1
